config,FD001,FD002,FD003,FD004
C1_base,16.68 ± 1.08,26.32 ± 0.89,16.49 ± 0.99,28.73 ± 0.77
C2_rolling,18.00 ± 0.37,25.74 ± 0.77,20.32 ± 1.80,28.58 ± 0.48
C3_lag,17.81 ± 0.59,26.34 ± 0.44,20.15 ± 2.22,28.58 ± 0.56
C4_trend,17.12 ± 0.84,25.73 ± 0.80,16.16 ± 1.14,26.34 ± 0.68
C5_agg,17.56 ± 0.78,25.58 ± 0.94,15.95 ± 1.36,26.37 ± 0.78
C6_full,17.85 ± 1.12,24.15 ± 1.03,15.16 ± 0.59,24.69 ± 0.44
